image_name,steering_angle
photo_0000.jpg,0.0
photo_0001.jpg,0.0
photo_0002.jpg,0.0
photo_0003.jpg,0.0
photo_0004.jpg,0.0
photo_0005.jpg,0.0
photo_0006.jpg,0.0
photo_0007.jpg,0.0
photo_0008.jpg,0.0
photo_0009.jpg,0.0
photo_0010.jpg,0.0
photo_0011.jpg,0.0
photo_0012.jpg,0.0
photo_0013.jpg,0.0
photo_0014.jpg,0.0
photo_0015.jpg,0.0
photo_0016.jpg,0.0
photo_0017.jpg,0.0
photo_0018.jpg,-10.0
photo_0019.jpg,-15.0
photo_0020.jpg,-20.0
photo_0021.jpg,-20.0
photo_0022.jpg,-20.0
photo_0023.jpg,-20.0
photo_0024.jpg,-20.0
photo_0025.jpg,-15.0
photo_0026.jpg,-15.0
photo_0027.jpg,-10.0
photo_0028.jpg,0.0
photo_0029.jpg,0.0
photo_0030.jpg,0.0
photo_0031.jpg,0.0
photo_0032.jpg,0.0
photo_0033.jpg,0.0
photo_0034.jpg,0.0
photo_0035.jpg,0.0
photo_0036.jpg,0.0
photo_0037.jpg,-10.0
photo_0038.jpg,-10.0
photo_0039.jpg,0.0
photo_0040.jpg,0.0
photo_0041.jpg,10.0
photo_0042.jpg,10.0
photo_0043.jpg,20.0
photo_0044.jpg,20.0
photo_0045.jpg,20.0
photo_0046.jpg,20.0
photo_0047.jpg,10.0
photo_0048.jpg,0.0
photo_0049.jpg,0.0
photo_0050.jpg,0.0
photo_0051.jpg,-10.0
photo_0052.jpg,-20.0
photo_0053.jpg,-20.0
photo_0054.jpg,-20.0
photo_0055.jpg,-10.0
photo_0056.jpg,-10.0
photo_0057.jpg,-20.0
photo_0058.jpg,-20.0
photo_0059.jpg,-20.0
photo_0060.jpg,-20.0
photo_0061.jpg,-15.0
photo_0062.jpg,-10.0
photo_0063.jpg,-10.0
photo_0064.jpg,0.0
photo_0065.jpg,0.0
photo_0066.jpg,0.0
photo_0067.jpg,0.0
photo_0068.jpg,10.0
photo_0069.jpg,10.0
photo_0070.jpg,10.0
photo_0071.jpg,0.0
photo_0072.jpg,0.0
photo_0073.jpg,-5.0
photo_0074.jpg,-10.0
photo_0075.jpg,-10.0
photo_0076.jpg,-15.0
photo_0077.jpg,-20.0
photo_0078.jpg,-20.0
photo_0079.jpg,-20.0
photo_0080.jpg,-20.0
photo_0081.jpg,-20.0
photo_0082.jpg,-20.0
photo_0083.jpg,-20.0
photo_0084.jpg,-15.0
photo_0085.jpg,-15.0
photo_0086.jpg,-10.0
photo_0087.jpg,0.0
photo_0088.jpg,0.0
photo_0089.jpg,10.0
photo_0090.jpg,15.0
photo_0091.jpg,15.0
photo_0092.jpg,10.0
photo_0093.jpg,15.0
photo_0094.jpg,10.0
photo_0095.jpg,0.0
photo_0096.jpg,0.0
photo_0097.jpg,0.0
photo_0098.jpg,0.0
photo_0099.jpg,0.0
photo_0100.jpg,0.0
photo_0101.jpg,0.0
photo_0102.jpg,0.0
photo_0103.jpg,0.0
photo_0104.jpg,0.0
photo_0105.jpg,0.0
photo_0106.jpg,0.0
photo_0107.jpg,0.0
photo_0108.jpg,0.0
photo_0109.jpg,-5.0
photo_0110.jpg,-10.0
photo_0111.jpg,-15.0
photo_0112.jpg,-20.0
photo_0113.jpg,-20.0
photo_0114.jpg,-20.0
photo_0115.jpg,-20.0
photo_0116.jpg,-20.0
photo_0117.jpg,-15.0
photo_0118.jpg,-10.0
photo_0119.jpg,-5.0
photo_0120.jpg,0.0
photo_0121.jpg,0.0
photo_0122.jpg,0.0
photo_0123.jpg,0.0
photo_0124.jpg,0.0
photo_0125.jpg,0.0
photo_0126.jpg,0.0
photo_0127.jpg,0.0
photo_0128.jpg,0.0
photo_0129.jpg,-5.0
photo_0130.jpg,-5.0
photo_0131.jpg,0.0
photo_0132.jpg,-10.0
photo_0133.jpg,0.0
photo_0134.jpg,10.0
photo_0135.jpg,20.0
photo_0136.jpg,20.0
photo_0137.jpg,20.0
photo_0138.jpg,20.0
photo_0139.jpg,20.0
photo_0140.jpg,20.0
photo_0141.jpg,15.0
photo_0142.jpg,15.0
photo_0143.jpg,10.0
photo_0144.jpg,5.0
photo_0145.jpg,0.0
photo_0146.jpg,-10.0
photo_0147.jpg,-15.0
