image_name,steering_angle
photo_0001.jpg,0
photo_0002.jpg,0
photo_0003.jpg,0
photo_0004.jpg,0
photo_0005.jpg,0
photo_0006.jpg,5
photo_0007.jpg,0
photo_0008.jpg,-5
photo_0009.jpg,0
photo_0010.jpg,0
photo_0011.jpg,0
photo_0012.jpg,0
photo_0013.jpg,0
photo_0014.jpg,0
photo_0015.jpg,-5
photo_0016.jpg,0
photo_0017.jpg,0
photo_0018.jpg,0
photo_0019.jpg,-5
photo_0020.jpg,-10
photo_0021.jpg,-5
photo_0022.jpg,-5
photo_0023.jpg,-10
photo_0024.jpg,-10
photo_0025.jpg,-15
photo_0026.jpg,-15
photo_0027.jpg,-10
photo_0028.jpg,-5
photo_0029.jpg,-10
photo_0030.jpg,0
photo_0031.jpg,5
photo_0032.jpg,0
photo_0033.jpg,-5
photo_0034.jpg,0
photo_0035.jpg,-5
photo_0036.jpg,0
photo_0037.jpg,0
photo_0038.jpg,-5
photo_0039.jpg,0
photo_0040.jpg,-5
photo_0041.jpg,-5
photo_0042.jpg,0
photo_0043.jpg,5
photo_0044.jpg,10
photo_0045.jpg,5
photo_0046.jpg,5
photo_0047.jpg,5
photo_0048.jpg,5
photo_0049.jpg,0
photo_0050.jpg,0
photo_0051.jpg,-10
photo_0052.jpg,-10
photo_0053.jpg,-10
photo_0054.jpg,-10
photo_0055.jpg,-10
photo_0056.jpg,-10
photo_0057.jpg,-10
photo_0058.jpg,-15
photo_0059.jpg,-15
photo_0060.jpg,-15
photo_0061.jpg,-15
photo_0062.jpg,-5
photo_0063.jpg,0
photo_0064.jpg,0
photo_0065.jpg,0
photo_0066.jpg,-5
photo_0067.jpg,5
photo_0068.jpg,5
photo_0069.jpg,0
photo_0070.jpg,5
photo_0071.jpg,0
photo_0072.jpg,-5
photo_0073.jpg,-5
photo_0074.jpg,-5
photo_0075.jpg,-10
photo_0076.jpg,-10
photo_0077.jpg,-10
photo_0078.jpg,-15
photo_0079.jpg,-15
photo_0080.jpg,-15
photo_0081.jpg,-15
photo_0082.jpg,-15
photo_0083.jpg,-15
photo_0084.jpg,-5
photo_0085.jpg,0
photo_0086.jpg,5
photo_0087.jpg,5
photo_0088.jpg,5
photo_0089.jpg,5
photo_0090.jpg,5
photo_0091.jpg,0
photo_0092.jpg,0
photo_0093.jpg,0
photo_0094.jpg,0
photo_0095.jpg,0
photo_0096.jpg,0
photo_0097.jpg,0
photo_0098.jpg,0
photo_0099.jpg,-5
photo_0100.jpg,0
photo_0101.jpg,0
photo_0102.jpg,0
photo_0103.jpg,-5
photo_0104.jpg,0
photo_0105.jpg,-5
photo_0106.jpg,-5
photo_0107.jpg,-10
photo_0108.jpg,-10
photo_0109.jpg,-10
photo_0110.jpg,-10
photo_0111.jpg,-10
photo_0112.jpg,-10
photo_0113.jpg,-10
photo_0114.jpg,-10
photo_0115.jpg,0
photo_0116.jpg,0
photo_0117.jpg,0
photo_0118.jpg,0
photo_0119.jpg,0
photo_0120.jpg,-5
photo_0121.jpg,0
photo_0122.jpg,0
photo_0123.jpg,-5
photo_0124.jpg,-5
photo_0125.jpg,-5
photo_0126.jpg,0
photo_0127.jpg,5
photo_0128.jpg,0
photo_0129.jpg,10
photo_0130.jpg,10
photo_0131.jpg,5
photo_0132.jpg,5
photo_0133.jpg,0
photo_0134.jpg,0
photo_0135.jpg,0
photo_0136.jpg,-5
photo_0137.jpg,-10
photo_0138.jpg,-10
photo_0139.jpg,-15
photo_0140.jpg,-5
photo_0141.jpg,-5
photo_0142.jpg,-15
photo_0143.jpg,-15
photo_0144.jpg,-15
photo_0145.jpg,-15
photo_0146.jpg,-5
photo_0147.jpg,0
photo_0148.jpg,-5
photo_0149.jpg,0
photo_0150.jpg,-5
photo_0151.jpg,5
photo_0152.jpg,5
photo_0153.jpg,0
photo_0154.jpg,0
photo_0155.jpg,0
photo_0156.jpg,-5
photo_0157.jpg,-5
photo_0158.jpg,-10
photo_0159.jpg,-5
photo_0160.jpg,-10
photo_0161.jpg,-15
photo_0162.jpg,-15
photo_0163.jpg,-15
photo_0164.jpg,-15
photo_0165.jpg,-15
photo_0166.jpg,-15
photo_0167.jpg,-10
photo_0168.jpg,-5
photo_0169.jpg,0
photo_0170.jpg,5
photo_0171.jpg,5
photo_0172.jpg,5
photo_0173.jpg,10
photo_0174.jpg,5
photo_0175.jpg,0
photo_0176.jpg,0
photo_0177.jpg,-5
photo_0178.jpg,0
photo_0179.jpg,0
photo_0180.jpg,0
photo_0181.jpg,0
photo_0182.jpg,0
photo_0183.jpg,0
photo_0184.jpg,0
photo_0185.jpg,0
photo_0186.jpg,0
photo_0187.jpg,0
photo_0188.jpg,0
photo_0189.jpg,-5
photo_0190.jpg,-10
photo_0191.jpg,-10
photo_0192.jpg,-10
photo_0193.jpg,-10
photo_0194.jpg,-10
photo_0195.jpg,-10
photo_0196.jpg,-10
photo_0197.jpg,-10
photo_0198.jpg,-5
photo_0199.jpg,0
photo_0200.jpg,0
photo_0201.jpg,0
photo_0202.jpg,-5
photo_0203.jpg,0
photo_0204.jpg,0
photo_0205.jpg,0
photo_0206.jpg,0
photo_0207.jpg,0
photo_0208.jpg,0
photo_0209.jpg,0
photo_0210.jpg,-5
photo_0211.jpg,-5
photo_0212.jpg,0
photo_0213.jpg,5
photo_0214.jpg,5
photo_0215.jpg,5
photo_0216.jpg,5
photo_0217.jpg,5
photo_0218.jpg,5
photo_0219.jpg,5
photo_0220.jpg,5
photo_0221.jpg,-5
photo_0222.jpg,-10
photo_0223.jpg,-15
photo_0224.jpg,-15
photo_0225.jpg,-15
photo_0226.jpg,0
photo_0227.jpg,-10
photo_0228.jpg,-15
photo_0229.jpg,-15
photo_0230.jpg,-15
photo_0231.jpg,-15
photo_0232.jpg,-10
photo_0233.jpg,-10
